"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-06","9.17",,"0.00","0.0","0.0","58","70","42","   30","   40","21.0","33.1",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-07","3.58",,"0.00","0.0","0.0","51","64","40","  150","  140","16.1","21.9",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-08","10.07",,"0.00","0.0","0.0","56","76","40","  150","  150","23.9","33.1","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-09","9.17",,"0.21","0.0","0.0","66","69","62","  180","  170","21.0","29.1","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-10","5.14",,"0.00","0.0","0.0","67","81","57","  180","  210","14.1","19.9","    1","    1",,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-11","9.62",,"0.00","0.0","0.0","71","84","64","  190","  220","19.9","25.1","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-12","11.41",,"0.00","0.0","0.0","74","86","67","  180","  170","21.9","28.0",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-13","10.51",,"0.00","0.0","0.0","74","83","68","  150","  150","21.0","29.1",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-14","8.50",,"0.00","0.0","0.0","76","84","70","  150","  150","21.9","31.1","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-15","10.74",,"0.05","0.0","0.0","66","71","60","   20","   40","18.1","21.9","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-16","5.82",,"0.00","0.0","0.0","65","75","60","  120","  120","19.9","23.0","    1",,,,,,,
